iata_code,airline,country/region,comments
EQ,TAME,Ecuador,Transporte Aéreos Militares  Ecuatorianos
QT,TAMPA,Colombia,
TQ,Tandem  Aero,Moldova,
TP,TAP  Portugal,Portugal,
K3,Taquan Air Services,United States,
RO,Tarom,Romania,
HJ,Tasman Cargo Airlines,Australia,[citation needed]
SF,Tassili  Airlines,Algeria,
T6,Tavrey  Airlines,Ukraine,
L6,Tbilaviamsheni,Georgia,
L9,Teamline  Air,Austria,
U8,Tel Aviv Air,Germany,defunct
K9,TezJet  Airlines,Kyrgyzstan,Started in 2014
T2,Thai  Air Cargo,Thailand,
FD,Thai  AirAsia,Thailand,
XJ,Thai  AirAsia X,Thailand,
TG,Thai Airways International,Thailand,
TXZ,Thai Express Air,Thailand,
SL,Thai  Lion Mentari,Thailand,
9I,Thai Sky Airlines,Thailand,
WE,Thai Smile  Airways,Thailand,
T9,Thai Star Airlines,Thailand,
VZ,Thai  Vietjet Air,Thailand,
2H,Thalys,Belgium,Not an airline (train). Used for  codesharing
HQ,Thomas Cook Airlines,Belgium,Defunct
MT,Thomas Cook Airlines,United Kingdom,
GS,Tianjin  Airlines,China,
3P,Tiara Air,Aruba,
TT,Tigerair Australia,Australia,"Previously TGW, callsign GO CAT"
TR,Tigerair  Singapore,Singapore,Merged with Scoot
IT,Tigerair  Taiwan,Taiwan,
ZT,Titan  Airways,United Kingdom,
3V,TNT  Airways,Belgium,
7T,Tobruk Air,Libya,
TI,Tol-Air  Services,United States,
TJ,Tradewind Aviation,United States,
TL,Trans  Mediterranean Airlines,Lebanon,
AX,Trans States Airlines,United States,
TW,Trans World Airlines,United States,
UN,Transaero Airlines,Russia,
GE,TransAsia Airways,Taiwan,defunct
TO,Transavia  France,France,
HV,Transavia Holland,Netherlands,
AL,TransAVIAexport Airlines,Belarus,
TR,Transbrasil,Brazil,defunct
UE,Transeuropean Airlines,Russia,
T9,TransMeridian Airlines,United States,Defunct
TH,Raya Airways,Malaysia,
TX,Transportes Aéreos Nacionales,Honduras,Defunct
OF,Transports et Travaux  Aériens de Madagascar,Madagascar,
9T,Transwest  Air,Canada,
S5,Trast Aero,Kyrgyzstan,
1E,Travelsky Technology,China,
GY,Tri-MG Intra Asia Airlines,Indonesia,
T4,TRIP Linhas Aéreas,Brazil,IATA code 8R changed to T4  (2010)
PM,Tropic Air,Belize,
M7,Tropical  Airways,Haiti,
TZ,Tsaradia,Madagascar,
BY,TUI  Airways,United Kingdom,"Formerly ""TOMSON"""
TB,TUI  fly Belgium,Belgium,
X3,TUI fly Deutschland,Germany,
OR,TUI fly Netherlands,Netherlands,
6B,TUI  fly Nordic,Sweden,
TD,Tulip Air,Netherlands,
UG,Tuninter,Tunisia,
TU,Tunisair,Tunisia,
3T,Turan Air,Azerbaijan,
TK,Turkish  Airlines,Turkey,
T5,Turkmenistan Airlines,Turkmenistan,
TW,T'way Air,Republic of Korea,
T7,Twin Jet,France,
VO,Tyrolean  Airways,Austria,Renamed from Austrian Arrows
VNX,flyADVANCED,United States,Aero Ways Inc. flyADVANCED
B7,UNI Air,Taiwan,
UA,United Airlines,United States,
4H,United Airways,Bangladesh,
U7,USA Jet Airlines,United States,
U6,Ural Airlines,Russia,
QU,Uganda Airlines (1976–2001),Uganda,Ceased operations 2001
UR,Uganda Airlines,Uganda,Started operations in 2019
UF,UM Airlines,Ukraine,Ukraine Mediterranean Airlines
6Z,Ukrainian Cargo Airways,Ukraine,
OL,Ultra Air,Colombia,
5X,United Parcel Service,United States,
US,US Airways,United States,"defunct, merged withAmerican Airlinesin 2015"
BS,US-Bangla Airlines,Bangladesh,
UH,US Helicopter,United States,
QU,UTair-Ukraine,Ukraine,
UT,UTair Aviation,Russia,WAS P2 till 2006
HY,Uzbekistan Airways,Uzbekistan,
PS,Ukraine International Airlines,Ukraine,
US,Unavia Suisse,Switzerland,
JW,Vanilla Air,Japan,Merged withPeach Aviation
VU,Vietravel Airlines,Vietnam,
VB,VivaAerobus,Mexico,
VA,Virgin Australia,Australia,"Previously Used: KANGA, AURORA, VEE-OZ"
VF,Valuair,Singapore,Merged withJetstar Asia
J7,ValuJet Airlines,United States,Now operating as AirTran Airways. J7 Reassigned.
0V,Vietnam Air Services Company(VASCO),Vietnam,
VC,Voyageur Airways,Canada,
VN,Vietnam Airlines,Vietnam,
NN,VIM Airlines,Russia,
2R,Via Rail Canada,Canada,
VA,Viasa,Venezuela,IATA Code transferred toVirgin Australia
Y4,Volaris,Mexico,
VI,Volga-Dnepr Airlines,Russia,
VX,Virgin America,United States,Merged withAlaska Airlines
VJ,Vietjet Air,Vietnam,
V4,Vieques Air Link,United States,
TV,Virgin Express,Belgium,defunct
VK,Virgin Nigeria Airways,Nigeria,
VS,Virgin Atlantic,United Kingdom,
ZG,Viva Macau,Macao,defunct
VE,C.A.I. Second,Italy,
VY,Vueling Airlines,Spain,
XF,Vladivostok Air,Russia,Merged withAurora
LC,Varig Logística,Brazil,defunct
VM,Viaggio Air,Bulgaria,
9V,Vipair Airlines,Kazakhstan,defunct
RG,Varig,Brazil,
VH,Viva Air Colombia,Colombia,"Commenced operations on May 25, 2012"
VP,VASP,Brazil,defunct
V7,Volotea,Spain,
VG,VLM Airlines,Belgium,defunct
G6,Air Volga,Russia,
UK,Vistara,India,Commenced operations 9 January 2015
WD,WDL Aviation,Germany,
WT,Wasaya Airways,Canada,
WH,WebJet Linhas Aéreas,Brazil,
2W,Welcome Air,Austria,
WZ,West African Airlines,Benin,
PN,West Air (China),China,
PT,West Air Sweden,Sweden,
YH,West Caribbean Airways,Colombia,
8O,West Coast Air,Canada,
WS,WestJet,Canada,
ST*,"Western Aircraft, Inc",United States,
WA,Western Airlines,United States,defunct
WA,KLM Cityhopper,the Netherlands,
W7,Western Pacific Airlines,United States,
CN,Westward Airways,United States,
WF,Widerøe,Norway,
WC,Wien Air Alaska,United States,Wien Consolidated Airlines from 1968-1973
IV,Wind Jet,Italy,
7W,Windrose Air,Germany,
IW,Wings Air,Indonesia,Subsidiary ofLion Air
8Z,Wizz Air Bulgaria,Bulgaria,defunct in 2011
W6,Wizz Air,Hungary,
W4,Wizz Air Malta,Malta,
W9,Wizz Air UK,United Kingdom,
WO,World Airways,United States,
1P,Worldspan,United States,
UI,SW Italia,Italy,
WW,WOW air,Iceland,
8V,Wright Air Service,United States,
KW,Wataniya Airways,Kuwait,
3W*,Wan Air,French Polynesia,defunct
WR,WestJet Encore,Canada,
7A,Express Air Cargo,Tunisia,
MF,Xiamen Airlines,China,
SE,XL Airways France,France,
XN,XpressAir,Indonesia,Renamed from Travel Express  Aviation Services in 2012
YL,Yamal Airlines,Russia,
R3,Yakutia Airlines,Russia,
Y8,Suparna Airlines,China,Former name: Yangtze River Express
Y0,Yellow Air Taxi/Friendship Airways,United States,
IY,Yemenia,Yemen,
YT,Yeti Airlines,Nepal,Domestic
4Y,Yute Air Alaska,United States,defunct 2017
2N,Yuzhmashavia,Ukraine,
C4,Zimex Aviation,Switzerland,
Q3,Zambian Airways,Zambia,
3J,Zip,Canada,ICAO Code and callsign no longer allocated
ZG,Zipair Tokyo,Japan,Subsidiary ofJapan Airlines
Z4,Zoom Airlines,Canada,"defunct, ICAO Code and callsign no longer allocated"
